ID,Vehicles
20170701001,67.16495
20170701011,58.35312
20170701021,48.645794
20170701031,38.794605
20170701041,32.58851
20170701051,30.656958
20170701061,33.267456
20170701071,36.37537
20170701081,40.22815
20170701091,45.730034
20170701101,54.51705
20170701111,55.510727
20170701121,54.32849
20170701131,52.957546
20170701141,55.002098
20170701151,54.884007
20170701161,54.866287
20170701171,53.799847
20170701181,57.908585
20170701191,63.289104
20170701201,63.776
20170701211,61.69172
20170701221,60.75878
20170701231,59.512066
20170702001,54.03752
20170702011,44.430634
20170702021,37.693626
20170702031,33.09591
20170702041,28.359615
20170702051,27.588163
20170702061,29.514433
20170702071,33.0153
20170702081,37.59585
20170702091,43.46701
20170702101,51.90714
20170702111,54.493923
20170702121,54.22825
20170702131,53.6973
20170702141,54.18671
20170702151,53.954887
20170702161,55.086094
20170702171,56.071552
20170702181,61.08304
20170702191,63.937897
20170702201,63.742496
20170702211,62.898853
20170702221,62.10528
20170702231,61.928925
20170703001,58.175793
20170703011,48.697594
20170703021,41.897728
20170703031,38.63546
20170703041,34.597805
20170703051,34.615215
20170703061,42.290775
20170703071,50.419487
20170703081,54.62668
20170703091,68.25166
20170703101,92.023544
20170703111,105.901764
20170703121,105.34839
20170703131,98.37128
20170703141,107.421005
20170703151,106.973335
20170703161,104.4213
20170703171,106.10192
20170703181,110.078064
20170703191,111.1854
20170703201,108.67204
20170703211,102.508194
20170703221,96.203064
20170703231,93.04642
20170704001,80.97385
20170704011,70.55387
20170704021,59.82621
20170704031,50.393333
20170704041,41.30413
20170704051,39.725624
20170704061,47.0417
20170704071,54.3424
20170704081,58.34729
20170704091,72.13052
20170704101,94.43
20170704111,109.7875
20170704121,110.72928
20170704131,103.2339
20170704141,112.37436
20170704151,111.71608
20170704161,109.15706
20170704171,109.84758
20170704181,113.25741
20170704191,113.730804
20170704201,111.22456
20170704211,104.08293
20170704221,97.64871
20170704231,93.72037
20170705001,81.71614
20170705011,71.00433
20170705021,60.145134
20170705031,50.13994
20170705041,41.501278
20170705051,40.129166
20170705061,46.984898
20170705071,54.213085
20170705081,58.028427
20170705091,70.715645
20170705101,92.71274
20170705111,107.42146
20170705121,108.17912
20170705131,99.319046
20170705141,108.97148
20170705151,108.48728
20170705161,104.67476
20170705171,105.11158
20170705181,108.23442
20170705191,109.038414
20170705201,106.89902
20170705211,98.67795
20170705221,93.97912
20170705231,91.49397
20170706001,81.89841
20170706011,69.39208
20170706021,58.6823
20170706031,48.97246
20170706041,41.29114
20170706051,40.038147
20170706061,46.049843
20170706071,53.105988
20170706081,56.992474
20170706091,70.33335
20170706101,93.07996
20170706111,108.00621
20170706121,108.64527
20170706131,99.53396
20170706141,109.05011
20170706151,108.41239
20170706161,105.371216
20170706171,105.56799
20170706181,108.010155
20170706191,108.58354
20170706201,106.92969
20170706211,97.845856
20170706221,93.25046
20170706231,90.18021
20170707001,81.10281
20170707011,68.84972
20170707021,58.618275
20170707031,49.32191
20170707041,41.39125
20170707051,39.69737
20170707061,44.453552
20170707071,51.12714
20170707081,54.94912
20170707091,66.70031
20170707101,84.75777
20170707111,93.117386
20170707121,93.82485
20170707131,87.62945
20170707141,93.62381
20170707151,92.82787
20170707161,89.17381
20170707171,88.92734
20170707181,91.57485
20170707191,92.04293
20170707201,91.01352
20170707211,84.24045
20170707221,80.15341
20170707231,78.17112
20170708001,67.20471
20170708011,57.63255
20170708021,47.724586
20170708031,38.760975
20170708041,32.83676
20170708051,30.116669
20170708061,31.63915
20170708071,35.303837
20170708081,38.790977
20170708091,44.43641
20170708101,52.60083
20170708111,55.46914
20170708121,55.325077
20170708131,54.30689
20170708141,53.940792
20170708151,53.67787
20170708161,53.90947
20170708171,54.13129
20170708181,58.239002
20170708191,62.17995
20170708201,62.51243
20170708211,60.74562
20170708221,59.77559
20170708231,58.946327
20170709001,53.869633
20170709011,44.687862
20170709021,37.4487
20170709031,33.132492
20170709041,28.375347
20170709051,27.404068
20170709061,29.266344
20170709071,32.918606
20170709081,37.69203
20170709091,43.63591
20170709101,52.060078
20170709111,55.540943
20170709121,54.94005
20170709131,54.80375
20170709141,53.33349
20170709151,53.36998
20170709161,54.122093
20170709171,54.92762
20170709181,60.18964
20170709191,64.7226
20170709201,64.11998
20170709211,62.88018
20170709221,62.675083
20170709231,62.16456
20170710001,59.802
20170710011,49.92756
20170710021,42.887596
20170710031,39.04823
20170710041,34.41991
20170710051,35.0517
20170710061,42.314747
20170710071,50.43686
20170710081,54.666138
20170710091,68.22347
20170710101,91.55918
20170710111,108.53668
20170710121,107.19475
20170710131,101.077805
20170710141,107.48389
20170710151,107.05935
20170710161,105.25026
20170710171,106.20299
20170710181,110.7069
20170710191,110.91979
20170710201,108.01228
20170710211,101.04481
20170710221,95.96614
20170710231,92.85176
20170711001,82.013756
20170711011,71.21652
20170711021,60.20502
20170711031,50.80579
20170711041,41.829758
20170711051,40.779243
20170711061,46.45186
20170711071,53.794437
20170711081,58.299145
20170711091,71.35398
20170711101,94.03756
20170711111,109.76695
20170711121,110.593765
20170711131,102.876854
20170711141,110.610535
20170711151,110.17376
20170711161,108.17433
20170711171,108.10355
20170711181,113.06253
20170711191,113.51977
20170711201,110.615005
20170711211,102.743996
20170711221,97.09469
20170711231,92.99342
20170712001,82.23386
20170712011,71.20519
20170712021,60.13146
20170712031,50.521797
20170712041,41.739075
20170712051,40.771675
20170712061,46.362804
20170712071,53.8706
20170712081,58.085056
20170712091,70.86277
20170712101,92.911255
20170712111,107.48735
20170712121,108.48222
20170712131,100.40399
20170712141,108.1329
20170712151,107.67592
20170712161,103.41234
20170712171,103.52108
20170712181,108.60565
20170712191,109.60329
20170712201,107.37758
